fecha,Total_contagiados,contagiados_por_dia,casos_activos,muertes,recuperados,recuperador_por_dia
13/03/20,2,2,2,0,0,0
14/03/20,2,0,2,0,0,0
15/03/20,17,15,17,0,0,0
16/03/20,17,0,17,0,0,0
17/03/20,33,16,33,0,0,0
18/03/20,36,3,36,0,0,0
19/03/20,42,6,42,0,0,0
20/03/20,65,23,64,0,1,1
21/03/20,70,5,55,0,15,14
22/03/20,70,0,55,0,15,0
23/03/20,84,14,69,0,15,0
24/03/20,84,0,69,0,15,0
25/03/20,106,22,91,0,15,0
26/03/20,107,1,91,1,15,0
27/03/20,113,6,80,2,31,16
28/03/20,119,6,78,2,39,8
29/03/20,119,0,77,3,39,0
30/03/20,135,16,93,3,39,0
31/03/20,135,0,93,3,39,0
01/04/20,144,9,98,3,43,4
02/04/20,146,2,98,5,43,0
03/04/20,153,7,94,7,52,9
04/04/20,155,2,96,7,52,0
05/04/20,159,4,100,7,52,0
06/04/20,165,6,93,7,65,13
07/04/20,166,1,94,7,65,0
08/04/20,167,1,93,9,65,0
09/04/20,171,4,78,9,84,19
10/04/20,175,4,82,9,84,0
11/04/20,175,0,73,9,93,9
12/04/20,181,6,79,9,93,0
13/04/20,189,8,70,9,110,17
14/04/20,189,0,70,9,110,0
15/04/20,197,8,77,9,111,1
16/04/20,204,7,84,9,111,0
17/04/20,204,0,84,9,111,0
18/04/20,227,23,101,9,117,6
19/04/20,256,29,130,9,117,0
20/04/20,285,29,158,10,117,0
21/04/20,288,3,156,10,122,5
22/04/20,298,10,166,10,122,0
23/04/20,298,0,166,10,122,0
24/04/20,318,20,176,10,132,10
25/04/20,323,5,181,10,132,0
26/04/20,325,2,178,10,137,5
27/04/20,329,4,177,10,142,5
28/04/20,329,0,177,10,142,0
29/04/20,331,2,179,10,142,0
30/04/20,333,2,181,10,142,0
01/05/20,335,2,183,10,142,0
02/05/20,345,10,187,10,148,6
03/05/20,357,12,199,10,148,0
04/05/20,357,0,189,10,158,10
05/05/20,361,4,193,10,158,0
06/05/20,379,18,193,10,176,18
07/05/20,381,2,186,10,185,9
08/05/20,388,7,188,10,190,5
09/05/20,402,14,202,10,190,0
10/05/20,414,12,211,10,193,3
11/05/20,422,8,207,10,205,12
12/05/20,423,1,193,10,220,15
13/05/20,440,17,210,10,220,0
14/05/20,455,15,225,10,220,0
15/05/20,459,4,220,10,229,9
16/05/20,502,43,251,10,241,12
