fecha,recuperados
13/03/20,0
14/03/20,0
15/03/20,0
16/03/20,0
17/03/20,0
18/03/20,0
19/03/20,0
20/03/20,1
21/03/20,15
22/03/20,15
23/03/20,15
24/03/20,15
25/03/20,15
26/03/20,15
27/03/20,31
28/03/20,39
29/03/20,39
30/03/20,39
31/03/20,39
01/04/20,43
02/04/20,43
03/04/20,52
04/04/20,52
05/04/20,52
06/04/20,65
07/04/20,65
08/04/20,65
09/04/20,84
10/04/20,84
11/04/20,93
12/04/20,93
13/04/20,110
14/04/20,110
15/04/20,111
16/04/20,111
17/04/20,111
18/04/20,117
19/04/20,117
20/04/20,117
21/04/20,122
22/04/20,122
23/04/20,122
24/04/20,132
25/04/20,132
26/04/20,137
27/04/20,142
28/04/20,142
29/04/20,142
30/04/20,142
01/05/20,142
02/05/20,148
03/05/20,148
04/05/20,158
05/05/20,158
06/05/20,176
07/05/20,185
08/05/20,190
09/05/20,190
10/05/20,193
11/05/20,205
12/05/20,220
13/05/20,220
14/05/20,220
15/05/20,229
16/05/20,241
