fecha,Total_contagiados
13/03/20,2
14/03/20,2
15/03/20,17
16/03/20,17
17/03/20,33
18/03/20,36
19/03/20,42
20/03/20,65
21/03/20,70
22/03/20,70
23/03/20,84
24/03/20,84
25/03/20,106
26/03/20,107
27/03/20,113
28/03/20,119
29/03/20,119
30/03/20,135
31/03/20,135
01/04/20,144
02/04/20,146
03/04/20,153
04/04/20,155
05/04/20,159
06/04/20,165
07/04/20,166
08/04/20,167
09/04/20,171
10/04/20,175
11/04/20,175
12/04/20,181
13/04/20,189
14/04/20,189
15/04/20,197
16/04/20,204
17/04/20,204
18/04/20,227
19/04/20,256
20/04/20,285
21/04/20,288
22/04/20,298
23/04/20,298
24/04/20,318
25/04/20,323
26/04/20,325
27/04/20,329
28/04/20,329
29/04/20,331
30/04/20,333
01/05/20,335
02/05/20,345
03/05/20,357
04/05/20,357
05/05/20,361
06/05/20,379
07/05/20,381
08/05/20,388
09/05/20,402
10/05/20,414
11/05/20,422
12/05/20,423
13/05/20,440
14/05/20,455
15/05/20,459
16/05/20,502
