id,obpp_situr_code,description,category_id/id,subcategory_id/id
__export__.sinco_project_45967,20-05-01-001-0077,"cambio de 256 mts2 techo de asbesto por acerolit,  cambio de 448 mts2 de laminas de zinc en mal estado por laminas de acerolit, rehabilitación de las 2 plazas con la construcción de 7 bancas de 1.20 x 0.40  cada una con un grosor de 0.10 cm y    704 metros cuadros de pinturas para 15 aulas del Liceo Nacional Simón Candiales.  ",sinco_project_category.sinco_project_cat_edu,sinco_project_category.sinco_project_subcat_sec
__export__.sinco_project_45968,20-05-01-001-0012,Continuación e Instalación de 178 metros lineales de la red de aguas servidas para el saneamiento ambiental en la vereda 7B la Consolación y Ali Primera II Etapa,sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_redser
__export__.sinco_project_45969,23-17-04-001-0036,"CON LA EJECUCIÓN DE ESTE PROYECTO ESTAREMOS BENEFICIANDO A 900 FAMILIAS APROXIMADAMENTE, ASÍ COMO TAMBIÉN AL TRANSPORTE PUBLICO Y TRANSEÚNTES YA QUE EN LA ACTUALIDAD SE ENCUENTRAN LAS CALLES Y AVENIDAS OSCURAS SIENDO ESTO UNA DE LAS MAYORES CAUSAS DE ROBO Y ATRACOS A LAS PERSONAS...TAMBIÉN ESTARÍAMOS COLABORANDO CON EL AHORRO ENERGÉTICO YA QUE UTILIZAREMOS BOMBILLOS LED Y EMBELLECIENDO EL SECTOR.",sinco_project_category.sinco_project_cat_ele,sinco_project_category.sinco_project_subcat_alu
__export__.sinco_project_45973,20-18-01-001-0005,"EN LA URBANIZACIÓN SANTOS MICHELENA HAY TRES CALLES LA 8,10 Y 12 QUE SE ENCUENTRAN SIN AGUAS SERVIDAS DE LAS CUALES REQUIEREN  135 METROS LINEALES DE TUBERIA, SITUACION POR LA CUAL LOS HABITANTES DE ESAS CALLES SOLICITAN AL CONSEJO FEDERAL DE GOBIERNO DAR UNA PRONTA Y POSITIVA RESPUESTA DE SOLUCIÓN ANTE ESTA PROBLEMÁTICA.",sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_redser
__export__.sinco_project_45974,16-07-01-001-0017,"De conformidad con las características especificas, de topografía, sitios obligados de descarga y el caudal requerido se definió utilizar 370 mts tubería de PVC diámetro 635 mm (24”), se realizara una nivelación en todo el terreno. Se tomaran las curvas de nivel para obtener el desnivel  a través del perfil longitudinal y transversal del canal para así realizar el movimiento de tierra donde se obtendrá los m3 a excavar, limpiar el monte donde se construirá el canal, se realizara una excavación de 370 metros lineales con un ancho de 1.60 metros  y una altura de 0.70 metros. Con la implementación de este proyecto, se proveerá al Sector Libertador  de una red de cloacas que permitirá  la disminución de los riesgos de proliferación de enfermedades tales como; gastroenteritis, amibiasis, enfermedades virales, etc., además de la proliferación de plagas como por ejemplo: mosquitos, zancudos, ratas, etc. Ya que existe una planta de tratamiento que fue mal construida y todas las bocas de visitas existentes se desbordan. Cada uno de estos factores mejorará de manera considerable la calidad de vida de los habitantes de esta comunidad y de las poblaciones circunvecinas.

 
",sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_redser
__export__.sinco_project_45975,C-RUR-2016-06-0004,"ATRAVES DE ESTE PROYECTO SOLICITAMOS LOS RECURSOS PARA RECUPERAR, MEJORAR Y AMPLIAR UNA GRANJA PORCINA QUE POSEEMOS EN EL SECTOR DONDE SE PUEDEN TENER UNAS 20 MADRES PREÑADAS PARA ASI MEJORAR LA CALIDAD DE RAZA Y A SU VEZ PARA LA PRODUCCION DE CARNE EN EL SECTOR CON LOS LECHONES Y QUE PODAMOS SACAR LA MISMA A OTROS SECTORES DE LA PARROQUIA Y A SU VEZ AMPLIAR LA CRIA DE AVES DE CORRAL CON LA ADQUISICION DE UNAS 1000 GALLINAS PONEDORAS PARA BENEFICIAR A OTRAS FAMILIAS Y ASI FORTALECER ESTE PRODUCTO QUE SE ENCUNTRA SUMAMENTE CARISIMO EN EL SECTOR PRIVADO Y TAMBIEN UTILIZAREMOS PARA REALIZAR LA SIEMBRA DE 10 HECTAREAS DE MAIZ PARA EL SUSTENTO O EL ALIMENTO PARA LAS LECHONAS Y LECHONES QUE SE PUEDAN ADQUIRIR CON ESTE PROYECTO, LO CUAL UTILIZAREMOS PARA MUCHOS BENEFICIOS DEL SECTOR",sinco_project_category.sinco_project_cat_sis,sinco_project_category.sinco_project_subcat_grancer
__export__.sinco_project_45977,22-04-01-001-0025,"ESTE PROYECTO SE REALIZA EN LA COMUNIDAD DE SAN JACINTO SECTOR 2 DEL MUNICIPIO COCOROTE ESTADO YARACUY, CON EL FIN DE SANEAR Y EMBELLECER LAS FACHADAS DE 150 VIVIENDAS QUE SE ENCUENTRAN DETERIORADAS DEBIDO A LA FALTA DE MANTENIMIENTO Y RECURSOS A LO QUE ESTAN SOMETIDOS SUS DUEÑOS POR CULPA DE LA GUERRA ECONOMICA EXISTENTE GRACIAS A FACTORES POLITICOS ENEMIGOS DE  NUESTRA REVOLUCION, CON ESTE PROYECTO SE BUSCA RECUPERAR Y DAR UN BUEN ASPECTO FISICO DE DICHAS VIVIENDAS Y ASI CUMPLIR UNA DE LAS PRINCIPALES LINEAS ESTABLECIDAS DE NUESTRO COMANDANTE CHAVEZ ""AMOR CON AMOR SE PAGA"", EN ESTA PRIMERA ETAPA SE REALIZARA EMBELLECIMIENTO A 4.500M2 DE SUPERFICIE UTILIZANDO MATERIALES DE PRIMERA CALIDAD. EL OBJETIVO PRINCIPAL DE ESTE PROYECTO ES: RESTAURAR CADA FACHADA PARA QUE ASI SE RECUPERE LA ALEGRIA DE NUESTROS HABITANTES.",sinco_project_category.sinco_project_cat_viv,sinco_project_category.sinco_project_subcat_reh
__export__.sinco_project_45985,12-05-01-001-0127,"LA EJECUCIÓN DE ESTE PROYECTO AGRÍCOLA INSERTA DENTRO DE LA POLÍTICA REVOLUCIONARIA, CON EL AFÁN DE GARANTIZAR LA SEGURIDAD ALIMENTICIA DE NUESTRA COMUNIDAD.",sinco_project_category.sinco_project_cat_sis_agri,sinco_project_category.sinco_project_subcat_conuco
__export__.sinco_project_45986,CC-URB-2015-12-00049,"Se requiere dar continuidad a las Redes de Agua Servidas, en el callejón Las Flores parte media y alta, dentro del ámbito geográfico, debido a que colapso y se obstruyeron las tuberías de aguas servidas de concreto de 12 pulgadas, están rebosando por las tuberías de aguas servidas internas de varias viviendas y por las tranquillas principales, ocasionado epidemias y enfermedades respiratorias en la comunidad, es un aproximado de cincuenta (50) metros longitud con sus respetivas conexiones, para colocarle tuberías plásticas reforzadas de 12 pulgadas, con su respetivo recubrimiento nuevamente y la rehabilitación de la camineria  donde se va a realizar la obra.-",sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_redser
__export__.sinco_project_45991,09-09-01-Q66-0000,"LA COMUNIDAD CUENTA CON UN POZO QUE PRODUCE 8 l/s  Y REQUIERE LA CONSTRUCCION DE UN ALMACENAMIENTO (TIPO AUSTRALIANO) PARA UNA MEJOR DISTRIBUCCION Y APROVECHAMIENTO DEL AGUA SE PRETENDE LA INSTALACION DE UN TANQUE AUSTRALIANO CON CAPACIDAD MINIMA DE 100.000 lts..Contempla la construcción de terraza, suministro, construcción y colocación de estructura metalica en vigas IPN, pintura epoxica en paredes interiores del tanque, colocación de tuberia PAVCO",sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_tan
