"id","obpp_situr_code","obpp_name","code","project_ids/display_name","description","subcategory_id/name","category_id/name","investment_sector_id/name","obpp_estado","obpp_municipio","obpp_parroquia","state","accountability_id/percent"
"__export__.sinco_project_45611","prueba-02","prueba-02","CCO-20-10-06-00039","Proyecto prueba-02","Descripción del Proyecto prueba-02","REDES DE DISTRIBUCIÓN DE AGUA POTABLE","MANEJO INTEGRAL DEL AGUA","SERVICIOS PÚBLICOS","GUÁRICO","JUAN GERMÁN ROSCIO","SAN JUAN DE LOS MORROS","En evaluación",""
"__export__.sinco_project_45691","prueba-01","prueba-01","CCO-20-01-01-00011","Proyecto prueba-01","Descripción del Proyecto prueba-01","SUSTITUCIÓN DE BOMBILLOS PARA ALUMBRADO PÚBLICO","ELECTRICIDAD","SERVICIOS PÚBLICOS","MÉRIDA","ANDRÉS BELLO","LA AZULITA","En evaluación",""
"__export__.sinco_project_45969","23-17-04-001-0036","LOGROS COMUNITARIOS","CCO-21-21-18-00001","REHABILITACIÓN DE ALUMBRADO PUBLICO","CON LA EJECUCIÓN DE ESTE PROYECTO ESTAREMOS BENEFICIANDO A 900 FAMILIAS APROXIMADAMENTE, ASÍ COMO TAMBIÉN AL TRANSPORTE PUBLICO Y TRANSEÚNTES YA QUE EN LA ACTUALIDAD SE ENCUENTRAN LAS CALLES Y AVENIDAS OSCURAS SIENDO ESTO UNA DE LAS MAYORES CAUSAS DE ROBO Y ATRACOS A LAS PERSONAS...TAMBIÉN ESTARÍAMOS COLABORANDO CON EL AHORRO ENERGÉTICO YA QUE UTILIZAREMOS BOMBILLOS LED Y EMBELLECIENDO EL SECTOR.","ALUMBRADO PÚBLICO","ELECTRICIDAD","SERVICIOS PÚBLICOS","ZULIA","SAN FRANCISCO","FRANCISCO OCHOA","En evaluación",""
"__export__.sinco_project_45973","20-18-01-001-0005","SANTOS MICHELENA","CCO-21-18-13-00002","COLOCAR REDES DE RECOLECCION DE AGUAS SERVIDAS EN LAS CALLES 8, 10 Y 12, DEL SECTOR SANTOS MICHELENA, MUNICIPIO MICHELENA","EN LA URBANIZACIÓN SANTOS MICHELENA HAY TRES CALLES LA 8,10 Y 12 QUE SE ENCUENTRAN SIN AGUAS SERVIDAS DE LAS CUALES REQUIEREN  135 METROS LINEALES DE TUBERIA, SITUACION POR LA CUAL LOS HABITANTES DE ESAS CALLES SOLICITAN AL CONSEJO FEDERAL DE GOBIERNO DAR UNA PRONTA Y POSITIVA RESPUESTA DE SOLUCIÓN ANTE ESTA PROBLEMÁTICA.","REDES DE RECOLECCIÓN DE AGUAS SERVIDAS","MANEJO INTEGRAL DEL AGUA","SERVICIOS PÚBLICOS","TÁCHIRA","MICHELENA","MICHELENA","En evaluación",""
"__export__.sinco_project_45974","16-07-01-001-0017","LIBERTADOR","CCO-21-14-06-00001","Construcción de colector de aguas servidas de 24” de la calle el Cambural del Sector Libertador de Temblador,","De conformidad con las características especificas, de topografía, sitios obligados de descarga y el caudal requerido se definió utilizar 370 mts tubería de PVC diámetro 635 mm (24”), se realizara una nivelación en todo el terreno. Se tomaran las curvas de nivel para obtener el desnivel  a través del perfil longitudinal y transversal del canal para así realizar el movimiento de tierra donde se obtendrá los m3 a excavar, limpiar el monte donde se construirá el canal, se realizara una excavación de 370 metros lineales con un ancho de 1.60 metros  y una altura de 0.70 metros. Con la implementación de este proyecto, se proveerá al Sector Libertador  de una red de cloacas que permitirá  la disminución de los riesgos de proliferación de enfermedades tales como; gastroenteritis, amibiasis, enfermedades virales, etc., además de la proliferación de plagas como por ejemplo: mosquitos, zancudos, ratas, etc. Ya que existe una planta de tratamiento que fue mal construida y todas las bocas de visitas existentes se desbordan. Cada uno de estos factores mejorará de manera considerable la calidad de vida de los habitantes de esta comunidad y de las poblaciones circunvecinas.

 
","REDES DE RECOLECCIÓN DE AGUAS SERVIDAS","MANEJO INTEGRAL DEL AGUA","SERVICIOS PÚBLICOS","MONAGAS","LIBERTADOR","LIBERTADOR","En evaluación",""
"__export__.sinco_project_45975","C-RUR-2016-06-0004","SOCIALISTA LA BENDICIÓN DE JEHOVA SHALOM","COM-21-05-01-00001","MEJORAMIENTO Y AMPLIACION DE UNA GRANJA MIXTA AVICOLA PORCINA EN EL SECTOR DE LA UNION","ATRAVES DE ESTE PROYECTO SOLICITAMOS LOS RECURSOS PARA RECUPERAR, MEJORAR Y AMPLIAR UNA GRANJA PORCINA QUE POSEEMOS EN EL SECTOR DONDE SE PUEDEN TENER UNAS 20 MADRES PREÑADAS PARA ASI MEJORAR LA CALIDAD DE RAZA Y A SU VEZ PARA LA PRODUCCION DE CARNE EN EL SECTOR CON LOS LECHONES Y QUE PODAMOS SACAR LA MISMA A OTROS SECTORES DE LA PARROQUIA Y A SU VEZ AMPLIAR LA CRIA DE AVES DE CORRAL CON LA ADQUISICION DE UNAS 1000 GALLINAS PONEDORAS PARA BENEFICIAR A OTRAS FAMILIAS Y ASI FORTALECER ESTE PRODUCTO QUE SE ENCUNTRA SUMAMENTE CARISIMO EN EL SECTOR PRIVADO Y TAMBIEN UTILIZAREMOS PARA REALIZAR LA SIEMBRA DE 10 HECTAREAS DE MAIZ PARA EL SUSTENTO O EL ALIMENTO PARA LAS LECHONAS Y LECHONES QUE SE PUEDAN ADQUIRIR CON ESTE PROYECTO, LO CUAL UTILIZAREMOS PARA MUCHOS BENEFICIOS DEL SECTOR","CRÍA Y ENGORDE DE PORCINOS","SISTEMAS AGROPECUARIOS","SOCIOPRODUCTIVOS","BARINAS","ARISMENDI","LA UNIÓN","En evaluación",""
"__export__.sinco_project_45977","22-04-01-001-0025","SAN JACINTO II (NO INDICA)","CCO-21-20-10-00001","Embellecimiento de Fachadas de 150 Viviendas de la Comunidad de San Jacinto Sector 2, del Municipio Cocorote Estado Yaracuy (PRIMERA PARTE)","ESTE PROYECTO SE REALIZA EN LA COMUNIDAD DE SAN JACINTO SECTOR 2 DEL MUNICIPIO COCOROTE ESTADO YARACUY, CON EL FIN DE SANEAR Y EMBELLECER LAS FACHADAS DE 150 VIVIENDAS QUE SE ENCUENTRAN DETERIORADAS DEBIDO A LA FALTA DE MANTENIMIENTO Y RECURSOS A LO QUE ESTAN SOMETIDOS SUS DUEÑOS POR CULPA DE LA GUERRA ECONOMICA EXISTENTE GRACIAS A FACTORES POLITICOS ENEMIGOS DE  NUESTRA REVOLUCION, CON ESTE PROYECTO SE BUSCA RECUPERAR Y DAR UN BUEN ASPECTO FISICO DE DICHAS VIVIENDAS Y ASI CUMPLIR UNA DE LAS PRINCIPALES LINEAS ESTABLECIDAS DE NUESTRO COMANDANTE CHAVEZ ""AMOR CON AMOR SE PAGA"", EN ESTA PRIMERA ETAPA SE REALIZARA EMBELLECIMIENTO A 4.500M2 DE SUPERFICIE UTILIZANDO MATERIALES DE PRIMERA CALIDAD. EL OBJETIVO PRINCIPAL DE ESTE PROYECTO ES: RESTAURAR CADA FACHADA PARA QUE ASI SE RECUPERE LA ALEGRIA DE NUESTROS HABITANTES.","REHABILITACIÓN DE VIVIENDA","VIVIENDA","SERVICIOS PÚBLICOS","YARACUY","COCOROTE","COCOROTE","En evaluación",""
"__export__.sinco_project_45985","12-05-01-001-0127","LOS SEIS UNIDOS","CCO-21-10-01-00002","SIEMBRA DE CULTIVOS INTERCALADOS EN EL CONSEJO COMUNAL LOS SEIS UNIDOS. MUNICIPIO LEONARDO INFANTE VALLE DE LA PASCUA ESTADO GUÁRICO. ","LA EJECUCIÓN DE ESTE PROYECTO AGRÍCOLA INSERTA DENTRO DE LA POLÍTICA REVOLUCIONARIA, CON EL AFÁN DE GARANTIZAR LA SEGURIDAD ALIMENTICIA DE NUESTRA COMUNIDAD.","CONUCO","SISTEMA DE PRODUCCIÓN AGRÍCOLA","SOCIOPRODUCTIVOS","GUÁRICO","LEONARDO INFANTE","VALLE DE LA PASCUA","En evaluación",""
"__export__.sinco_project_45986","CC-URB-2015-12-00049","ALI PRIMERA MONTESANO CENTRO","CCO-21-24-01-00001","III ETAPA DE REDES DE AGUAS SERVIDAS y CAMINERIA DEL CALLEJON LAS FLORES","Se requiere dar continuidad a las Redes de Agua Servidas, en el callejón Las Flores parte media y alta, dentro del ámbito geográfico, debido a que colapso y se obstruyeron las tuberías de aguas servidas de concreto de 12 pulgadas, están rebosando por las tuberías de aguas servidas internas de varias viviendas y por las tranquillas principales, ocasionado epidemias y enfermedades respiratorias en la comunidad, es un aproximado de cincuenta (50) metros longitud con sus respetivas conexiones, para colocarle tuberías plásticas reforzadas de 12 pulgadas, con su respetivo recubrimiento nuevamente y la rehabilitación de la camineria  donde se va a realizar la obra.-","REDES DE RECOLECCIÓN DE AGUAS SERVIDAS","MANEJO INTEGRAL DEL AGUA","SERVICIOS PÚBLICOS","LA GUAIRA","VARGAS","CARLOS SOUBLETTE","En evaluación",""
"__export__.sinco_project_45991","09-09-01-Q66-0000","LA GUAMA CAMORUCO","CCO-21-08-07-00001","CONSTRUCCIÓN DE TANQUE ELEVADO PARA EL ALMACENAMIENTO DE AGUA PARA CONSUMO HUMANO EN LA COMUNIDAD DE LA GUAMA CAMORUCO, MUNICIPIO TINACO ESTADO COJEDES","LA COMUNIDAD CUENTA CON UN POZO QUE PRODUCE 8 l/s  Y REQUIERE LA CONSTRUCCION DE UN ALMACENAMIENTO (TIPO AUSTRALIANO) PARA UNA MEJOR DISTRIBUCCION Y APROVECHAMIENTO DEL AGUA SE PRETENDE LA INSTALACION DE UN TANQUE AUSTRALIANO CON CAPACIDAD MINIMA DE 100.000 lts..Contempla la construcción de terraza, suministro, construcción y colocación de estructura metalica en vigas IPN, pintura epoxica en paredes interiores del tanque, colocación de tuberia PAVCO","TANQUES DE ALMACENAMIENTO","MANEJO INTEGRAL DEL AGUA","SERVICIOS PÚBLICOS","COJEDES","TINACO","GENERAL EN JEFE JOSÉ LAURENCIO SILVA","En evaluación",""
